source,target
cube3_cluster0,cube9_cluster1
cube10_cluster1,cube13_cluster1
cube10_cluster2,cube13_cluster0
cube13_cluster0,cube16_cluster0
cube13_cluster0,cube16_cluster1
cube13_cluster1,cube14_cluster0
cube13_cluster1,cube16_cluster0
cube13_cluster2,cube16_cluster0
cube16_cluster0,cube17_cluster1
cube16_cluster0,cube18_cluster0
cube16_cluster0,cube19_cluster0
cube16_cluster1,cube17_cluster0
cube16_cluster1,cube18_cluster1
cube17_cluster1,cube18_cluster0
cube17_cluster1,cube19_cluster0
cube17_cluster2,cube19_cluster2
cube18_cluster0,cube19_cluster0
cube18_cluster0,cube21_cluster0
cube18_cluster1,cube19_cluster0
cube18_cluster1,cube21_cluster0
cube18_cluster1,cube21_cluster1
cube18_cluster2,cube21_cluster2
cube19_cluster0,cube22_cluster1
cube19_cluster1,cube22_cluster0
cube21_cluster0,cube22_cluster2
cube21_cluster0,cube25_cluster0
cube21_cluster0,cube25_cluster1
cube21_cluster0,cube26_cluster1
cube21_cluster1,cube22_cluster1
cube21_cluster1,cube25_cluster0
cube21_cluster1,cube25_cluster2
cube21_cluster2,cube25_cluster2
cube22_cluster0,cube26_cluster0
cube22_cluster1,cube26_cluster1
cube22_cluster2,cube25_cluster1
cube22_cluster2,cube26_cluster1
cube25_cluster0,cube26_cluster1
cube25_cluster0,cube30_cluster0
cube25_cluster0,cube30_cluster1
cube25_cluster0,cube30_cluster2
cube25_cluster1,cube26_cluster1
cube25_cluster1,cube30_cluster0
cube25_cluster2,cube26_cluster0
cube25_cluster2,cube26_cluster2
cube25_cluster2,cube30_cluster1
cube25_cluster2,cube31_cluster2
cube26_cluster2,cube30_cluster1
cube26_cluster2,cube31_cluster0
cube26_cluster2,cube31_cluster2
cube30_cluster1,cube31_cluster2
cube30_cluster2,cube31_cluster1
