node_id,row_indices
cube3_cluster0,2413
cube3_cluster1,2382
cube3_cluster2,1820
cube9_cluster0,2874
cube9_cluster1,2413
cube9_cluster2,666
cube10_cluster0,"1190,2047,2092,2540,2834"
cube10_cluster1,"2486,2743,2753"
cube10_cluster2,"682,2105,2796"
cube13_cluster0,"579,584,904,978,1426,1482,1499,1872,1972,2011,2103,2104,2105,2441,2458,2533,2729,2777,2790,2796"
cube13_cluster1,"284,422,1884,2166,2369,2394,2429,2461,2486,2734,2740,2743,2799,2815,2861"
cube13_cluster2,1960
cube14_cluster0,2734
cube14_cluster1,2046
cube14_cluster2,972
cube16_cluster0,"1056,1081,1373,1405,1409,1573,1683,1806,1960,2166,2385,2398,2429,2435,2466,2505,2511,2741,2777,2819,2876,2881"
cube16_cluster1,"398,479,579,660,670,708,788,959,978,1009,1372,1470,1518,1837,1877,1917,2091,2104,2168,2302,2316,2337,2341,2346,2453,2598,2778,2860"
cube16_cluster2,2829
cube17_cluster0,"934,959,2223"
cube17_cluster1,"1378,1405,2782"
cube17_cluster2,"1957,2883"
cube18_cluster0,"15,31,455,594,873,946,1082,1282,1384,1385,1392,1405,1409,1570,1573,1886,1918,1967,1995,2110,2348,2388,2392,2420,2433,2440,2459,2478,2482,2511,2636,2692,2710,2741,2775,2803,2807,2822,2864,2865,2870,2876"
cube18_cluster1,"173,239,348,413,449,471,479,603,608,612,614,615,622,623,624,625,629,631,632,634,638,639,711,713,738,788,936,943,964,1006,1027,1099,1100,1350,1376,1382,1414,1442,1444,1513,1623,1638,1748,1797,1809,1818,1862,1877,1889,1897,1920,1977,2007,2027,2065,2131,2142,2177,2188,2214,2381,2415,2444,2447,2452,2506,2526,2556,2564,2592,2617,2618,2626,2638,2645,2732,2742,2776,2778,2804,2824,2868,2872,2873"
cube18_cluster2,"1484,2010,2025,2045"
cube19_cluster0,"38,373,381,943,1405,1638"
cube19_cluster1,2827
cube19_cluster2,"65,353,2883"
cube21_cluster0,"6,16,19,46,50,52,62,119,149,157,159,237,260,356,423,425,455,539,594,637,756,806,889,890,893,899,908,921,933,949,951,953,1077,1085,1107,1187,1195,1251,1313,1317,1341,1347,1368,1375,1381,1384,1387,1388,1392,1404,1414,1593,1601,1620,1628,1651,1660,1690,1726,1736,1751,1809,1816,1822,1853,1854,1857,1869,1875,1880,1881,1882,1887,1894,1908,1909,1919,1925,1928,1953,1961,1978,1995,2115,2119,2121,2122,2123,2188,2197,2202,2303,2327,2347,2350,2371,2379,2384,2399,2405,2424,2433,2436,2440,2454,2455,2456,2462,2469,2477,2478,2481,2514,2519,2522,2527,2530,2603,2616,2651,2656,2657,2661,2665,2669,2677,2709,2716,2724,2726,2727,2733,2735,2736,2749,2780,2817,2842,2845,2862,2864,2875"
cube21_cluster1,"3,4,5,7,10,11,12,13,14,21,22,23,26,40,42,78,84,111,120,135,150,153,186,191,200,230,233,234,235,236,239,256,261,341,343,352,371,372,383,402,429,441,444,445,463,500,508,509,529,537,546,590,596,605,607,612,613,614,617,618,624,625,626,629,630,631,638,639,651,677,680,730,731,763,791,793,797,807,813,827,865,938,966,1011,1013,1017,1021,1037,1039,1058,1060,1099,1112,1209,1284,1285,1327,1342,1351,1359,1389,1413,1419,1423,1431,1433,1439,1480,1485,1512,1513,1553,1568,1600,1639,1680,1716,1717,1747,1748,1774,1796,1797,1803,1821,1849,1893,1898,1903,1915,1942,1952,1970,1973,1981,1992,1998,2006,2034,2065,2145,2153,2163,2176,2194,2199,2209,2213,2229,2231,2280,2343,2373,2380,2381,2415,2499,2500,2509,2516,2534,2538,2541,2542,2547,2557,2560,2580,2583,2630,2645,2650,2654,2671,2700,2744,2754,2768,2770,2786,2792,2820,2824,2831,2878"
cube21_cluster2,"970,1010,1437,1484,2010,2050,2267,2535,2582,2611"
cube22_cluster0,"685,1170,1380,2746,2827"
cube22_cluster1,"45,162,345,381,481,596"
cube22_cluster2,"46,159,1654,2749,2871"
