source,target
cube13_cluster0,cube14_cluster0
cube13_cluster0,cube15_cluster0
cube13_cluster0,cube16_cluster0
cube13_cluster0,cube20_cluster0
cube13_cluster0,cube21_cluster2
cube13_cluster0,cube22_cluster2
cube13_cluster0,cube23_cluster2
cube13_cluster0,cube30_cluster0
cube13_cluster0,cube31_cluster2
cube13_cluster0,cube32_cluster2
cube13_cluster0,cube33_cluster2
cube13_cluster0,cube40_cluster2
cube13_cluster0,cube41_cluster0
cube13_cluster0,cube42_cluster0
cube13_cluster0,cube43_cluster1
cube13_cluster1,cube14_cluster1
cube13_cluster1,cube15_cluster1
cube13_cluster1,cube16_cluster1
cube13_cluster1,cube20_cluster2
cube13_cluster1,cube21_cluster0
cube13_cluster1,cube22_cluster0
cube13_cluster1,cube23_cluster0
cube13_cluster1,cube30_cluster2
cube13_cluster1,cube31_cluster0
cube13_cluster1,cube32_cluster0
cube13_cluster1,cube33_cluster0
cube13_cluster2,cube14_cluster2
cube13_cluster2,cube15_cluster2
cube13_cluster2,cube16_cluster2
cube13_cluster2,cube20_cluster0
cube13_cluster2,cube21_cluster2
cube13_cluster2,cube22_cluster2
cube13_cluster2,cube23_cluster2
cube13_cluster2,cube30_cluster0
cube13_cluster2,cube31_cluster2
cube13_cluster2,cube32_cluster2
cube13_cluster2,cube33_cluster2
cube14_cluster0,cube15_cluster0
cube14_cluster0,cube16_cluster0
cube14_cluster0,cube20_cluster0
cube14_cluster0,cube21_cluster2
cube14_cluster0,cube22_cluster2
cube14_cluster0,cube23_cluster2
cube14_cluster0,cube30_cluster0
cube14_cluster0,cube31_cluster2
cube14_cluster0,cube32_cluster2
cube14_cluster0,cube33_cluster2
cube14_cluster0,cube40_cluster2
cube14_cluster0,cube41_cluster0
cube14_cluster0,cube42_cluster0
cube14_cluster0,cube43_cluster1
cube14_cluster1,cube15_cluster1
cube14_cluster1,cube16_cluster1
cube14_cluster1,cube20_cluster2
cube14_cluster1,cube21_cluster0
cube14_cluster1,cube22_cluster0
cube14_cluster1,cube23_cluster0
cube14_cluster1,cube30_cluster2
cube14_cluster1,cube31_cluster0
cube14_cluster1,cube32_cluster0
cube14_cluster1,cube33_cluster0
cube14_cluster2,cube15_cluster2
cube14_cluster2,cube16_cluster2
cube14_cluster2,cube20_cluster0
cube14_cluster2,cube21_cluster2
cube14_cluster2,cube22_cluster2
cube14_cluster2,cube23_cluster2
cube14_cluster2,cube30_cluster0
cube14_cluster2,cube31_cluster2
cube14_cluster2,cube32_cluster2
cube14_cluster2,cube33_cluster2
cube15_cluster0,cube16_cluster0
cube15_cluster0,cube20_cluster0
cube15_cluster0,cube21_cluster2
cube15_cluster0,cube22_cluster2
cube15_cluster0,cube23_cluster2
cube15_cluster0,cube30_cluster0
cube15_cluster0,cube31_cluster2
cube15_cluster0,cube32_cluster2
cube15_cluster0,cube33_cluster2
cube15_cluster0,cube40_cluster2
cube15_cluster0,cube41_cluster0
cube15_cluster0,cube42_cluster0
cube15_cluster0,cube43_cluster1
cube15_cluster1,cube16_cluster1
cube15_cluster1,cube20_cluster2
cube15_cluster1,cube21_cluster0
cube15_cluster1,cube22_cluster0
cube15_cluster1,cube23_cluster0
cube15_cluster1,cube30_cluster2
cube15_cluster1,cube31_cluster0
cube15_cluster1,cube32_cluster0
cube15_cluster1,cube33_cluster0
cube15_cluster2,cube16_cluster2
cube15_cluster2,cube20_cluster0
cube15_cluster2,cube21_cluster2
cube15_cluster2,cube22_cluster2
cube15_cluster2,cube23_cluster2
cube15_cluster2,cube30_cluster0
cube15_cluster2,cube31_cluster2
cube15_cluster2,cube32_cluster2
cube15_cluster2,cube33_cluster2
cube16_cluster0,cube20_cluster0
cube16_cluster0,cube21_cluster2
cube16_cluster0,cube22_cluster2
cube16_cluster0,cube23_cluster2
cube16_cluster0,cube30_cluster0
cube16_cluster0,cube31_cluster2
cube16_cluster0,cube32_cluster2
cube16_cluster0,cube33_cluster2
cube16_cluster0,cube40_cluster2
cube16_cluster0,cube41_cluster0
cube16_cluster0,cube42_cluster0
cube16_cluster0,cube43_cluster1
cube16_cluster1,cube20_cluster2
cube16_cluster1,cube21_cluster0
cube16_cluster1,cube22_cluster0
cube16_cluster1,cube23_cluster0
cube16_cluster1,cube30_cluster2
cube16_cluster1,cube31_cluster0
cube16_cluster1,cube32_cluster0
cube16_cluster1,cube33_cluster0
cube16_cluster2,cube20_cluster0
cube16_cluster2,cube21_cluster2
cube16_cluster2,cube22_cluster2
cube16_cluster2,cube23_cluster2
cube16_cluster2,cube30_cluster0
cube16_cluster2,cube31_cluster2
cube16_cluster2,cube32_cluster2
cube16_cluster2,cube33_cluster2
cube20_cluster0,cube21_cluster2
cube20_cluster0,cube22_cluster2
cube20_cluster0,cube23_cluster2
cube20_cluster0,cube30_cluster0
cube20_cluster0,cube31_cluster2
cube20_cluster0,cube32_cluster2
cube20_cluster0,cube33_cluster2
cube20_cluster0,cube40_cluster0
cube20_cluster0,cube40_cluster2
cube20_cluster0,cube41_cluster0
cube20_cluster0,cube41_cluster2
cube20_cluster0,cube42_cluster0
cube20_cluster0,cube43_cluster1
cube20_cluster1,cube21_cluster1
cube20_cluster1,cube22_cluster1
cube20_cluster1,cube23_cluster1
cube20_cluster1,cube30_cluster1
cube20_cluster1,cube31_cluster1
cube20_cluster1,cube32_cluster1
cube20_cluster1,cube33_cluster1
cube20_cluster1,cube40_cluster1
cube20_cluster1,cube41_cluster1
cube20_cluster1,cube42_cluster1
